aerodynamics:aircraft:cruise:CD	data:aerodynamics:aircraft:cruise:CD
aerodynamics:aircraft:cruise:CD:compressibility	data:aerodynamics:aircraft:cruise:CD:compressibility
aerodynamics:aircraft:cruise:CD:k	tuning:aerodynamics:aircraft:cruise:CD:k
aerodynamics:aircraft:cruise:CD:offset	tuning:aerodynamics:aircraft:cruise:CD:offset
aerodynamics:aircraft:cruise:CD:trim	data:aerodynamics:aircraft:cruise:CD:trim
aerodynamics:aircraft:cruise:CD:winglet_effect:k	tuning:aerodynamics:aircraft:cruise:CD:winglet_effect:k
aerodynamics:aircraft:cruise:CD:winglet_effect:offset	tuning:aerodynamics:aircraft:cruise:CD:winglet_effect:offset
aerodynamics:aircraft:cruise:CD0	data:aerodynamics:aircraft:cruise:CD0
aerodynamics:aircraft:cruise:CL	data:aerodynamics:aircraft:cruise:CL
aerodynamics:aircraft:cruise:CL:k	tuning:aerodynamics:aircraft:cruise:CL:k
aerodynamics:aircraft:cruise:CL:offset	tuning:aerodynamics:aircraft:cruise:CL:offset
aerodynamics:aircraft:cruise:CL:winglet_effect:k	tuning:aerodynamics:aircraft:cruise:CL:winglet_effect:k
aerodynamics:aircraft:cruise:CL:winglet_effect:offset	tuning:aerodynamics:aircraft:cruise:CL:winglet_effect:offset
aerodynamics:aircraft:cruise:CL_alpha	data:aerodynamics:aircraft:cruise:CL_alpha
aerodynamics:aircraft:cruise:induced_drag_coefficient	data:aerodynamics:aircraft:cruise:induced_drag_coefficient
aerodynamics:aircraft:cruise:L_D_max	data:aerodynamics:aircraft:cruise:L_D_max
aerodynamics:aircraft:cruise:optimal_CD	data:aerodynamics:aircraft:cruise:optimal_CD
aerodynamics:aircraft:cruise:optimal_CL	data:aerodynamics:aircraft:cruise:optimal_CL
aerodynamics:aircraft:landing:additional_CL_capacity	data:aerodynamics:aircraft:landing:additional_CL_capacity
aerodynamics:aircraft:landing:CL_max	data:aerodynamics:aircraft:landing:CL_max
aerodynamics:aircraft:landing:CL_max:landing_gear_effect:k	tuning:aerodynamics:aircraft:landing:CL_max:landing_gear_effect:k
aerodynamics:aircraft:landing:CL_max:landing_gear_effect:offset	tuning:aerodynamics:aircraft:landing:CL_max:landing_gear_effect:offset
aerodynamics:aircraft:landing:CL_max_clean	data:aerodynamics:aircraft:landing:CL_max_clean
aerodynamics:aircraft:landing:mach	data:aerodynamics:aircraft:landing:mach
aerodynamics:aircraft:landing:reynolds	data:aerodynamics:aircraft:landing:reynolds
aerodynamics:aircraft:takeoff:CL_alpha	data:aerodynamics:aircraft:takeoff:CL_alpha
aerodynamics:aircraft:takeoff:CL0_clean	data:aerodynamics:aircraft:takeoff:CL0_clean
aerodynamics:cruise:neutral_point:x	data:aerodynamics:cruise:neutral_point:x
aerodynamics:fuselage:cruise:CD0	data:aerodynamics:fuselage:cruise:CD0
aerodynamics:fuselage:cruise:CnBeta	data:aerodynamics:fuselage:cruise:CnBeta
aerodynamics:high_lift_devices:landing:CL	data:aerodynamics:high_lift_devices:landing:CL
aerodynamics:horizontal_tail:cruise:CD0	data:aerodynamics:horizontal_tail:cruise:CD0
aerodynamics:horizontal_tail:cruise:CL_alpha	data:aerodynamics:horizontal_tail:cruise:CL_alpha
aerodynamics:nacelles:cruise:CD0	data:aerodynamics:nacelles:cruise:CD0
aerodynamics:pylons:cruise:CD0	data:aerodynamics:pylons:cruise:CD0
aerodynamics:vertical_tail:cruise:CD0	data:aerodynamics:vertical_tail:cruise:CD0
aerodynamics:vertical_tail:cruise:CL_alpha	data:aerodynamics:vertical_tail:cruise:CL_alpha
aerodynamics:vertical_tail:cruise:CnBeta	data:aerodynamics:vertical_tail:cruise:CnBeta
aerodynamics:wing:cruise:CD0	data:aerodynamics:wing:cruise:CD0
aerodynamics:wing:cruise:reynolds	data:aerodynamics:wing:cruise:reynolds
geometry:aircraft:wetted_area	data:geometry:aircraft:wetted_area
geometry:cabin:aisle_width	data:geometry:cabin:aisle_width
geometry:cabin:containers:count	data:geometry:cabin:containers:count
geometry:cabin:containers:count_by_row	data:geometry:cabin:containers:count_by_row
geometry:cabin:crew_count:commercial	data:geometry:cabin:crew_count:commercial
geometry:cabin:crew_count:technical	data:geometry:cabin:crew_count:technical
geometry:cabin:exit_width	data:geometry:cabin:exit_width
geometry:cabin:length	data:geometry:cabin:length
geometry:cabin:NPAX1	data:geometry:cabin:NPAX1
geometry:cabin:pallet_count	data:geometry:cabin:pallet_count
geometry:cabin:seat_rows:count	data:geometry:cabin:seat_rows:count
geometry:cabin:seats:business:count_by_row	data:geometry:cabin:seats:business:count_by_row
geometry:cabin:seats:business:length	data:geometry:cabin:seats:business:length
geometry:cabin:seats:business:width	data:geometry:cabin:seats:business:width
geometry:cabin:seats:economical:count_by_row	data:geometry:cabin:seats:economical:count_by_row
geometry:cabin:seats:economical:length	data:geometry:cabin:seats:economical:length
geometry:cabin:seats:economical:width	data:geometry:cabin:seats:economical:width
geometry:flap:chord_ratio	data:geometry:flap:chord_ratio
geometry:flap:span_ratio	data:geometry:flap:span_ratio
geometry:fuselage:front_length	data:geometry:fuselage:front_length
geometry:fuselage:length	data:geometry:fuselage:length
geometry:fuselage:maximum_height	data:geometry:fuselage:maximum_height
geometry:fuselage:maximum_width	data:geometry:fuselage:maximum_width
geometry:fuselage:PAX_length	data:geometry:fuselage:PAX_length
geometry:fuselage:rear_length	data:geometry:fuselage:rear_length
geometry:fuselage:wetted_area	data:geometry:fuselage:wetted_area
geometry:horizontal_tail:area	data:geometry:horizontal_tail:area
geometry:horizontal_tail:aspect_ratio	data:geometry:horizontal_tail:aspect_ratio
geometry:horizontal_tail:distance_from_wing	data:geometry:horizontal_tail:distance_from_wing
geometry:horizontal_tail:MAC:length	data:geometry:horizontal_tail:MAC:length
geometry:horizontal_tail:MAC:x	data:geometry:horizontal_tail:MAC:x
geometry:horizontal_tail:MAC:y	data:geometry:horizontal_tail:MAC:y
