(1) Time [s]; (2) Range [m]; (3) alt [m]; (4) TAS [m/s]; (5) CAS [m/s]; (6) m [kg]; (7) Fuel consumed [kg]; (8) Thrust [kN]; (9) Fuelflow [kg/s]; (10) TAS [kts]; (11) Mach [-]; (12) FL [100 ft]; (13) ROC [fpm]; (14) CA [-]; (15) SAR [m/kg]; (16) bleed [kg/s]; (17) shaftPowerOfftake [kW]; (18) CO2 [kg/s]; (19) NOX [kg/s]
0; 0; 0; 0; 0; 74102.31102; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
0.1870171883; 0.04660761095; 0; 0.4984313085; 0.4984313085; 74101.80752; -0.5034972363; 255.9038222; 2.692251128; 0.9688729538; 0.001464694859; 0; 0; 0.4; 0; 1.269; 82.33; 8.477995885; 0.1155738821; 
0.3740343767; 0.1864304438; 0; 0.996862617; 0.996862617; 74101.30401; -1.007006009; 255.5683846; 2.692312816; 1.937745908; 0.002929389718; 0; 0; 0.4; 0; 1.269; 82.33; 8.478190228; 0.1155806979; 
0.561051565; 0.4194684985; 0; 1.495293925; 1.495293925; 74100.80049; -1.510526326; 255.2329456; 2.692374542; 2.906618862; 0.004394084576; 0; 0; 0.4; 0; 1.269; 82.33; 8.47838464; 0.1155875132; 
0.7480687534; 0.7457217751; 0; 1.993725234; 1.993725234; 74100.29696; -2.014058194; 254.8975074; 2.692436309; 3.875491815; 0.005858779435; 0; 0; 0.4; 0; 1.269; 82.33; 8.478579233; 0.1155943319; 
0.9350859417; 1.165190274; 0; 2.492156542; 2.492156542; 74099.79341; -2.517601625; 254.56207; 2.692498133; 4.844364769; 0.007323474294; 0; 0; 0.4; 0; 1.269; 82.33; 8.478774007; 0.1156011539; 
1.12210313; 1.677873994; 0; 2.990587851; 2.990587851; 74099.28986; -3.021156621; 254.226629; 2.692559978; 5.813237723; 0.008788169153; 0; 0; 0.4; 0; 1.269; 82.33; 8.478968737; 0.1156079717; 
1.309120318; 2.283772936; 0; 3.489019159; 3.489019159; 74098.78629; -3.524723192; 253.8911911; 2.692621864; 6.782110677; 0.01025286401; 0; 0; 0.4; 0; 1.269; 82.33; 8.47916376; 0.1156147966; 
1.496137507; 2.982887101; 0; 3.987450468; 3.987450468; 74098.28271; -4.028301346; 253.5557517; 2.692683806; 7.750983631; 0.01171755887; 0; 0; 0.4; 0; 1.269; 82.33; 8.479358852; 0.1156216211; 
1.683154695; 3.775216487; 0; 4.485881776; 4.485881776; 74097.77912; -4.531891089; 253.2203109; 2.692745771; 8.719856585; 0.01318225373; 0; 0; 0.4; 0; 1.269; 82.33; 8.479554012; 0.1156284451; 
1.870171883; 4.660761095; 0; 4.984313085; 4.984313085; 74097.27552; -5.035492428; 252.884871; 2.692807775; 9.688729538; 0.01464694859; 0; 0; 0.4; 0; 1.269; 82.33; 8.479749353; 0.1156352725; 
2.057189072; 5.639520924; 0; 5.482744393; 5.482744393; 74096.77191; -5.53910537; 252.5494297; 2.692869818; 10.65760249; 0.01611164345; 0; 0; 0.4; 0; 1.269; 82.33; 8.479944762; 0.1156420995; 
2.24420626; 6.711495976; 0; 5.981175702; 5.981175702; 74096.26829; -6.042729919; 252.2139869; 2.692931883; 11.62647545; 0.01757633831; 0; 0; 0.4; 0; 1.269; 82.33; 8.480140239; 0.115648926; 
2.431223448; 7.87668625; 0; 6.47960701; 6.47960701; 74095.76465; -6.546366086; 251.8785472; 2.692994006; 12.5953484; 0.01904103316; 0; 0; 0.4; 0; 1.269; 82.33; 8.48033601; 0.1156557595; 
2.618240637; 9.135091745; 0; 6.978038319; 6.978038319; 74095.261; -7.050013879; 251.5431039; 2.693056168; 13.56422135; 0.02050572802; 0; 0; 0.4; 0; 1.269; 82.33; 8.480531736; 0.115662589; 
2.805257825; 10.48671246; 0; 7.476469627; 7.476469627; 74094.75734; -7.553673301; 251.2076614; 2.693118352; 14.53309431; 0.02197042288; 0; 0; 0.4; 0; 1.269; 82.33; 8.480727643; 0.1156694217; 
