(1) Time [s]; (2) Range [m]; (3) alt [m]; (4) TAS [m/s]; (5) CAS [m/s]; (6) m [kg]; (7) Fuel consumed [kg]; (8) Thrust [kN]; (9) Fuelflow [kg/s]; (10) TAS [kts]; (11) Mach [-]; (12) FL [100 ft]; (13) ROC [fpm]; (14) CA [-]; (15) SAR [m/kg]; (16) bleed [kg/s]; (17) shaftPowerOfftake [kW]; (18) CO2 [kg/s]; (19) NOX [kg/s]
0; 0; 0; 0; 0; 76999.31879; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
0.1956466009; 0.04878174151; 0; 0.4986720066; 0.4986720065; 76998.79206; -0.5267297864; 255.9036613; 2.692251151; 0.9693408335; 0.001465402176; 0; 0; 0.4; 0; 1.269; 82.33; 8.477996028; 0.115573887; 
0.3912932017; 0.1951269661; 0; 0.9973440131; 0.9973440131; 76998.26532; -1.053471647; 255.5680604; 2.692312866; 1.938681667; 0.002930804353; 0; 0; 0.4; 0; 1.269; 82.33; 8.478190404; 0.1155807041; 
0.5869398026; 0.4390356736; 0; 1.49601602; 1.49601602; 76997.73857; -1.58022559; 255.2324604; 2.692374621; 2.9080225; 0.004396206529; 0; 0; 0.4; 0; 1.269; 82.33; 8.478384961; 0.1155875244; 
0.7825864034; 0.7805078642; 0; 1.994688026; 1.994688026; 76997.2118; -2.106991626; 254.8968613; 2.692436434; 3.877363334; 0.005861608706; 0; 0; 0.4; 0; 1.269; 82.33; 8.478579699; 0.115594348; 
0.9782330043; 1.219543538; 0; 2.493360033; 2.493360033; 76996.68502; -2.63376976; 254.5612584; 2.692498268; 4.846704167; 0.007327010882; 0; 0; 0.4; 0; 1.269; 82.33; 8.478774394; 0.1156011676; 
1.173879605; 1.756142694; 0; 2.992032039; 2.992032039; 76996.15823; -3.16056; 254.2256587; 2.692560142; 5.816045001; 0.008792413058; 0; 0; 0.4; 0; 1.269; 82.33; 8.478969383; 0.1156079942; 
1.369526206; 2.390305334; 0; 3.490704046; 3.490704046; 76995.63143; -3.687362356; 253.8900576; 2.692622074; 6.785385834; 0.01025781523; 0; 0; 0.4; 0; 1.269; 82.33; 8.479164441; 0.1156148204; 
1.565172807; 3.122031457; 0; 3.989376052; 3.989376052; 76995.10462; -4.214176833; 253.554455; 2.692684028; 7.754726668; 0.01172321741; 0; 0; 0.4; 0; 1.269; 82.33; 8.479359567; 0.1156216462; 
1.760819408; 3.951321063; 0; 4.488048059; 4.488048059; 76994.57779; -4.741003439; 253.2188534; 2.692746021; 8.724067501; 0.01318861959; 0; 0; 0.4; 0; 1.269; 82.33; 8.479554875; 0.1156284753; 
